STATIONS_ID,MESS_DATUM,QUALITAETS_NIVEAU,BEDECKUNGSGRAD,REL_FEUCHTE,DAMPFDRUCK,LUFTTEMPERATUR,LUFTDRUCK_STATIONSHOEHE,WINDGESCHWINDIGKEIT,LUFTTEMP_AM_ERDB_MINIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMPERATUR_MAXIMUM,WINDSPITZE_MAXIMUM,NIEDERSCHLAGSHOEHE_IND,NIEDERSCHLAGSHOEHE,SONNENSCHEINDAUER,SCHNEEHOEHE
433,1948-06-17,5,7.0,70.00,13.8,17.2,1006.90,-999,10.5,13.0,22.8,-999,1,3.6,-999,0
433,1948-06-18,5,3.7,57.00,11.4,17.7,1006.90,-999,11.6,14.0,22.0,-999,1,3.9,-999,0
433,1948-06-19,5,7.7,67.00,12.9,16.5,1001.80,-999,10.7,14.3,21.0,-999,1,.3,-999,0
433,1948-06-20,5,6.3,70.00,12.1,15.7,1001.20,-999,10.8,12.4,19.4,-999,1,1.3,-999,0
433,1948-06-21,5,4.0,56.00,9.2,14.8,1010.10,-999,9.2,10.7,17.7,-999,0,.0,-999,0
433,1948-06-22,5,7.0,54.00,9.7,15.7,1005.50,-999,8.5,11.4,21.2,-999,0,.0,-999,0
433,1948-06-23,5,6.3,79.00,11.6,13.2,1007.50,-999,9.6,10.8,16.4,-999,1,5.4,-999,0
433,1948-06-24,5,4.0,68.00,11.5,15.4,1010.60,-999,8.5,10.6,19.6,-999,1,2.5,-999,0
433,1948-06-25,5,4.7,67.00,10.8,14.4,1008.70,-999,8.2,10.2,17.5,-999,1,.0,-999,0
433,1948-06-26,5,3.0,53.00,9.8,17.0,1009.90,-999,10.0,11.4,21.9,-999,0,.0,-999,0
433,1948-06-27,5,7.7,73.00,15.7,18.8,1005.30,-999,13.2,15.0,25.7,-999,1,.7,-999,0
433,1948-06-28,5,8.0,88.00,13.8,13.3,999.10,-999,12.1,11.7,17.7,-999,1,7.6,-999,0
433,1948-06-29,5,6.7,82.00,12.1,12.6,999.30,-999,7.6,8.8,17.0,-999,1,13.4,-999,0
433,1948-06-30,5,5.7,69.00,11.0,14.4,1001.60,-999,9.4,11.3,19.4,-999,1,4.0,-999,0
433,1948-07-01,5,7.3,75.00,11.7,13.6,1004.40,-999,8.0,10.4,18.3,-999,0,.0,-999,0
433,1948-07-02,5,5.0,75.00,12.9,15.3,1008.00,-999,7.3,9.8,21.2,-999,1,3.7,-999,0
433,1948-07-03,5,6.3,75.00,11.5,13.5,1016.60,-999,10.6,11.2,16.0,-999,1,8.2,-999,0
433,1948-07-04,5,6.7,64.00,12.0,17.0,1013.90,-999,8.6,11.7,20.9,-999,1,.0,-999,0
433,1948-07-05,5,7.3,69.00,13.6,17.3,1002.90,-999,11.9,14.0,22.5,-999,0,.0,-999,0
433,1948-07-06,5,5.0,58.00,12.8,19.4,1003.80,-999,11.5,13.6,24.2,-999,1,1.3,-999,0
433,1948-07-07,5,7.3,82.00,13.3,13.9,1008.50,-999,11.2,13.3,19.4,-999,0,.0,-999,0
433,1948-07-08,5,6.0,88.00,12.2,11.1,1001.40,-999,8.0,9.7,14.5,-999,1,7.2,-999,0
433,1948-07-09,5,6.3,75.00,11.5,14.0,1001.10,-999,5.1,7.0,17.6,-999,1,21.2,-999,0
433,1948-07-10,5,8.0,93.00,14.1,13.3,1000.70,-999,10.0,12.3,15.3,-999,1,.3,-999,0
433,1948-07-11,5,5.7,73.00,14.5,17.4,1001.30,-999,12.6,13.8,22.2,-999,1,15.8,-999,0
433,1948-07-12,5,8.0,79.00,13.7,14.9,1000.60,-999,9.7,12.0,18.6,-999,1,2.6,-999,0
433,1948-07-13,5,5.3,87.00,14.3,14.3,997.30,-999,10.8,12.4,19.7,-999,1,4.4,-999,0
433,1948-07-14,5,5.7,75.00,12.7,14.8,1000.60,-999,8.3,10.3,20.5,-999,1,22.4,-999,0
433,1948-07-15,5,4.7,69.00,12.1,15.4,1001.00,-999,10.4,12.7,18.4,-999,1,1.1,-999,0
433,1948-07-16,5,7.3,79.00,13.3,15.0,1000.60,-999,10.3,12.5,17.8,-999,0,.0,-999,0
433,1948-07-17,5,5.7,74.00,13.2,16.0,1004.60,-999,12.3,13.8,20.0,-999,1,.2,-999,0
433,1948-07-18,5,5.0,70.00,12.6,16.0,1005.50,-999,8.4,10.9,21.2,-999,0,.0,-999,0
433,1948-07-19,5,3.7,61.00,13.5,19.6,1007.90,-999,10.2,13.5,24.6,-999,1,.0,-999,0
433,1948-07-20,5,4.7,59.00,15.4,22.4,1010.00,-999,11.2,14.3,28.0,-999,0,.0,-999,0
433,1948-07-21,5,2.3,56.00,18.7,26.5,1009.00,-999,15.4,18.9,31.6,-999,0,.0,-999,0
433,1948-07-22,5,6.7,80.00,18.6,18.8,1011.30,-999,16.1,15.8,26.6,-999,0,.0,-999,0
433,1948-07-23,5,3.3,53.00,10.9,18.2,1016.50,-999,11.2,13.4,22.5,-999,1,5.3,-999,0
